component,var_name_final,loading
pc_all_3,focus_fx_brl_year_2,-0.08583538343333867
pc_all_3,focus_fx_brl_year_3,-0.0935163444715874
pc_all_3,focus_fx_brl_year_4,-0.06588884696825442
pc_all_3,focus_gdp_year_0,-0.13237336222010204
pc_all_3,focus_gdp_year_1,0.044342710739204656
pc_all_3,focus_gdp_year_2,0.07465358588236472
pc_all_3,focus_gdp_year_3,0.051942497010118466
pc_all_3,focus_gdp_year_4,0.03062604506569848
pc_all_3,focus_ipca_current_month,-0.023611325449325062
pc_all_3,focus_ipca_next_12_average,-0.037242377106483336
pc_all_3,focus_ipca_next_12_median,-0.036143194348432925
pc_all_3,focus_ipca_year_0,-0.08735506581489012
pc_all_3,focus_ipca_year_1,-0.020320015672842483
pc_all_3,focus_ipca_year_2,0.019044813071059093
pc_all_3,focus_ipca_year_3,-0.027215752068036045
pc_all_3,focus_ipca_year_4,-0.0213296403911398
pc_all_3,focus_net_debt_year_0,0.0038623546701169265
pc_all_3,focus_net_debt_year_1,0.008332795091295154
pc_all_3,focus_net_debt_year_2,0.006877255228247336
pc_all_3,focus_net_debt_year_3,0.01718004484967774
pc_all_3,focus_net_debt_year_4,0.006528517972541968
pc_all_3,focus_nominal_year_0,-0.06602373735147271
pc_all_3,focus_nominal_year_1,-0.023303721331627142
pc_all_3,focus_nominal_year_2,-0.020183091444568285
pc_all_3,focus_nominal_year_3,-0.0487558849019226
pc_all_3,focus_nominal_year_4,-0.02645379799504504
pc_all_3,focus_primary_year_0,-0.07522687499014166
pc_all_3,focus_primary_year_1,-0.08901949283310397
pc_all_3,focus_primary_year_2,-0.07923088726630866
pc_all_3,focus_primary_year_3,-0.059043392830682585
pc_all_3,focus_primary_year_4,-0.056517452148305926
pc_all_3,focus_selic_year_0,-0.025279113097058638
pc_all_3,focus_selic_year_1,-0.04606263170891281
pc_all_3,focus_selic_year_2,-0.03661904801715451
pc_all_3,focus_selic_year_3,-0.015334810361134495
pc_all_3,focus_selic_year_4,0.0063038373440639185
pc_all_3,focus_trade_b_year_0,-0.03220197205591208
pc_all_3,focus_trade_b_year_1,-0.021972506401534295
pc_all_3,focus_trade_b_year_2,-0.026209997646014387
pc_all_3,focus_trade_b_year_3,-0.019857959865724032
pc_all_3,focus_trade_b_year_4,-0.00044907302995242544
pc_all_4,bbg_1_month_risk_reversal_option,0.20118900439796447
pc_all_4,bbg_anfavea_bz,0.04607717945595735
pc_all_4,bbg_bbg_asia_fc,-0.08742311225295085
pc_all_4,bbg_bbg_surprise_growth_us,-0.047462596444165395
pc_all_4,bbg_bbg_surprise_inf_bz,0.08137591520480711
pc_all_4,bbg_bbg_surprise_inf_us,0.004426114989242447
pc_all_4,bbg_bbg_surprise_us,-0.1345068856091061
pc_all_4,bbg_bbg_us_fc,-0.22599298170654664
pc_all_4,bbg_bz_cds_10y,-0.04637775069985228
pc_all_4,bbg_bz_cds_5y,-0.010798055894626263
pc_all_4,bbg_citi_em_asia_fc,0.20494790787548758
pc_all_4,bbg_citi_surprise_em,-0.05183272461744845
pc_all_4,bbg_citi_surprise_eur,-0.06536788210603281
pc_all_4,bbg_citi_surprise_g10,-0.10455421583352917
pc_all_4,bbg_citi_surprise_global,-0.09669887703640172
pc_all_4,bbg_citi_surprise_latam,-0.043127363241625895
pc_all_4,bbg_citi_surprise_us,-0.11645769779944827
pc_all_4,bbg_comm,-0.032866125008177774
pc_all_4,bbg_energy_future,0.0012259065234044002
pc_all_4,bbg_fed_funds,-0.03477066065645973
pc_all_4,bbg_ibov,-0.015306030083232513
pc_all_4,bbg_us_5y_breakeven_inflation,-0.01925559474865138
pc_all_4,bbg_vix,0.19904937159703237
pc_all_4,bbg_wheat,0.1303819376798959
pc_all_4,focus_ca_sd,-0.013977777866268536
pc_all_4,focus_ca_year_0,-0.21527903389170833
pc_all_4,focus_ca_year_1,0.09827642224815893
pc_all_4,focus_ca_year_2,0.1040007730173835
pc_all_4,focus_ca_year_3,0.1301472242263906
pc_all_4,focus_ca_year_4,0.1439593915592459
pc_all_4,focus_fdi_year_0,0.19512671591861322
pc_all_4,focus_fdi_year_1,0.09385581236343361
pc_all_4,focus_fdi_year_2,0.0887946917446981
pc_all_4,focus_fdi_year_3,0.06591413655236054
pc_all_4,focus_fdi_year_4,0.033599144017064944
pc_all_4,focus_fx_brl_year_0,0.032019889581265976
pc_all_4,focus_fx_brl_year_1,0.002976496857764592
pc_all_4,focus_fx_brl_year_2,0.008228996677528055
pc_all_4,focus_fx_brl_year_3,0.013999888997703066
pc_all_4,focus_fx_brl_year_4,0.01740584626718632
pc_all_4,focus_gdp_year_0,0.17949487346233758
pc_all_4,focus_gdp_year_1,-0.10619577387630855
