,RealPC1_rollstd_d1
2020-03-18,0.08518118914583242
2020-03-19,0.10003974059036634
2020-03-20,0.10022763044726647
2020-03-23,0.09927943879070592
2020-03-24,0.10010306406330777
2020-03-25,0.10022368714438581
2020-03-26,0.10002245545507087
2020-03-27,0.10014727638839907
2020-03-30,0.1001590426886608
2020-03-31,0.09483880627251604
2020-04-01,0.09410854296327914
2020-04-02,0.09429990115018633
2020-04-03,0.09410657909584288
2020-04-06,0.09444575642893237
2020-04-07,0.10597244303886953
2020-04-08,0.10522552133865001
2020-04-09,0.10504779378781216
2020-04-13,0.09209056489537956
2020-04-14,0.08462610210783747
2020-04-15,0.08297379824521826
2020-04-16,0.08296354948560566
2020-04-17,0.08288870429959572
2020-04-20,0.06466030822226569
2020-04-22,0.06402525909739734
2020-04-23,0.06402525909739734
2020-04-24,0.06318802760207641
2020-04-27,0.0631437805077507
2020-04-28,0.06311663806025312
2020-04-29,0.06502087549375869
2020-04-30,0.06500319037592771
2020-05-04,0.06422407593425832
2020-05-05,0.06425437741788052
2020-05-06,0.06284215595728758
2020-05-07,0.06284215595728758
2020-05-08,0.06234898116245411
2020-05-11,0.030130930795925374
2020-05-12,0.030130930795925374
2020-05-13,0.03025893598932072
2020-05-14,0.03025893598932072
2020-05-15,0.03055046546357953
2020-05-18,0.0621947751638853
2020-05-19,0.0621616044747424
2020-05-20,0.062153486211921405
2020-05-21,0.06221307127541417
2020-05-22,0.06218549848612085
2020-05-25,0.07125622367068687
2020-05-26,0.07127674682703297
2020-05-27,0.07109992600837567
2020-05-28,0.07094868614500464
2020-05-29,0.0664075501269596
2020-06-01,0.06494990011345352
2020-06-02,0.06436358751199597
2020-06-03,0.06391830854170158
2020-06-04,0.06328330864141585
2020-06-05,0.06257914192399554
2020-06-08,0.061744677738463705
2020-06-09,0.06457841431628758
2020-06-10,0.06394720395337099
2020-06-12,0.06398957246358411
2020-06-15,0.0638319140154405
2020-06-16,0.06441644387413147
2020-06-17,0.04266922815712686
2020-06-18,0.04265876926922894
2020-06-19,0.04266433180794734
2020-06-22,0.04304846704036158
2020-06-23,0.042709443317936364
2020-06-24,0.026135040488121836
2020-06-25,0.02681799369178145
2020-06-26,0.026775797047679618
2020-06-29,0.02628621275900998
2020-06-30,0.024727074538058818
2020-07-01,0.024619196408973795
2020-07-02,0.02629137742119272
2020-07-03,0.02423294282699126
2020-07-06,0.024159469603794517
2020-07-07,0.02558544252718307
2020-07-08,0.029028910481683573
2020-07-09,0.025012479570256495
2020-07-10,0.026272564248522097
2020-07-13,0.026347556915680782
2020-07-14,0.02655254636750025
2020-07-15,0.027405174436142425
2020-07-16,0.02944762857493566
2020-07-17,0.02936064622548262
2020-07-20,0.029665916578787387
2020-07-21,0.029620323503651992
2020-07-22,0.030265541087462128
2020-07-23,0.030058337987475148
2020-07-24,0.03084274478944406
2020-07-27,0.03087923039196036
2020-07-28,0.030873802882495086
2020-07-29,0.03054763615343116
2020-07-30,0.030691603792961143
2020-07-31,0.027592421458320474
2020-08-03,0.027027610105502205
2020-08-04,0.026692052570277687
2020-08-05,0.026201701907428227
2020-08-06,0.03108106256299102
2020-08-07,0.03106886980799446
2020-08-10,0.02911199354059102
2020-08-11,0.02875621553833247
2020-08-12,0.029139987784106668
2020-08-13,0.029178467608182327
2020-08-14,0.027688638066407912
