,InflPC1_rollstd_d1,InflPC2_rollstd_d1
2014-08-29,0.0081118811899498,0.00923661647026017
2014-09-01,0.00814728441789698,0.009248580836584802
2014-09-02,0.008042150173884663,0.009234183005703332
2014-09-03,0.008042253636794993,0.00923501212729106
2014-09-04,0.008042354330848187,0.009235803073599468
2014-09-05,0.008009419872436247,0.00931619883231813
2014-09-08,0.006308437256335014,0.005199989173012575
2014-09-09,0.00515265654130187,0.004371687080864139
2014-09-10,0.004943431929503947,0.004254557436053363
2014-09-11,0.0051359527397239705,0.004423478257282677
2014-09-12,0.004307143848816765,0.003999520971601718
2014-09-15,0.004316050506753356,0.0036381772234718975
2014-09-16,0.0038283967931986994,0.0032389894007604962
2014-09-17,0.003808927228473289,0.0032226644423035775
2014-09-18,0.003953909935924816,0.0033100366964059626
2014-09-19,0.003928359337293365,0.0032852338677348864
2014-09-22,0.003727200760176493,0.0036023206451470096
2014-09-23,0.0036666121621906,0.003461401585696049
2014-09-24,0.0034058429917471363,0.003291291393499728
2014-09-25,0.0033698405248015,0.003335150000201294
2014-09-26,0.0033696874826721606,0.0033359300632885723
2014-09-29,0.0034717774993078604,0.003330122589908815
2014-09-30,0.00338047409968961,0.0033357370070539252
2014-10-01,0.0033803062594151305,0.0033365055069178766
2014-10-02,0.0033801353547316835,0.0033372715451380863
2014-10-03,0.003393136916056823,0.0033375968602101084
2014-10-06,0.0034040932652211336,0.003205254749956702
2014-10-07,0.0032539357067527534,0.0027233718641029277
2014-10-08,0.004487870686704607,0.005558119331827391
2014-10-09,0.00448899154208335,0.005563184645794935
2014-10-10,0.004233113693874923,0.005394738835965969
2014-10-13,0.004270654696410724,0.005405998067217269
2014-10-14,0.004169587320389007,0.005425640063287251
2014-10-15,0.004170872337697758,0.005431251773307404
2014-10-16,0.004172126564988219,0.005436814256250376
2014-10-17,0.004012237162967578,0.005369865759152341
2014-10-20,0.004012706180458673,0.005426026004151866
2014-10-21,0.004200158079744789,0.005523692688279513
2014-10-22,0.004200813859783369,0.005527744719190033
2014-10-23,0.004201446116453844,0.005531761967522043
2014-10-24,0.003976615214791827,0.005484214195433047
2014-10-27,0.003986872954986534,0.005584759222020767
2014-10-28,0.0038864511133343857,0.0055981375564480365
2014-10-29,0.0044817630311819075,0.005913236620162598
2014-10-30,0.0044834016924510745,0.005916508045891588
2014-10-31,0.006446068819623876,0.007119547376655182
2014-11-03,0.008746774462862154,0.007177907760193897
2014-11-04,0.01014635246914298,0.009689650341059352
2014-11-05,0.010152632320785407,0.009689429422367196
2014-11-06,0.010305940311417957,0.008596528769355431
2014-11-07,0.011043198391848258,0.008633101069665373
2014-11-10,0.011171648033655727,0.008645122400004332
2014-11-11,0.01101554531881207,0.008645437455104285
2014-11-12,0.011016513743437335,0.008642541063782252
2014-11-13,0.011017481804516319,0.008639562682488595
2014-11-14,0.011018449502144954,0.008636502226398213
2014-11-17,0.011180208231553971,0.008634109248527087
2014-11-18,0.025968062110064326,0.008678954457710141
2014-11-19,0.025812885348732984,0.008549297831911187
2014-11-20,0.025721935868129923,0.008652554993225073
2014-11-21,0.02572481178654117,0.0086477073587248
2014-11-24,0.025867730091490033,0.00864175786607478
